code_no,title,source_type,primary_place,lat,lng,all_places,summary_hint,api_category,api_category2,api_tags,narrative_type,primary_category,representative_category,core_topics,entities,spaces,moods,functions
C_M_046,손당본향 소천국광 백주할망,legend,한라산,33.3616666,126.5291666,한라산 | 송당리 | 구좌읍,"손당본향 소천국광 백주할망 본풀이는 구좌읍 송당리 본향당에서 모시는 백주할망과 소 천국의 내력을 담은 신화이다. 백주할망과 소천국은 소천국이 밭갈이하던 소를 잡아먹는 바람에 별거하게 되고, 그 아 들 송곡성은 아비를...",신화,MYTH2.002,"한라산,소,농사,사냥,소천국,무쇠상자,송당,용왕국,불효,강남천자국,백주할망,열룬이,손당본향,소천국광,송곡성,식성,백줏도",무속신화,무속신화·신격 전승,지명·지형 유래,무속신화·신격 전승 | 마을 공동체 전승 | 지명·지형 유래 | 해양·어촌 전승,신 | 마을신 | 왕/관원/선비 | 용왕/해신,산/오름 | 당/사당 | 한라산 권역 | 바다,경외 | 신성 | 신비,인물 전승 | 공동체 기억 | 기원 설명 | 장소 신성화
C_M_047,솥할망본,legend,신풍리,33.3697855,126.8320995,표선면 | 성산읍 | 신풍리,솥할망본은 표선면 하천리 강씨 집안의 조상신 솥할망의 내력을 담은 신화이다. 바닷가에서 솥을 주워다가 솥으로 쓰려고 하였으나 아무리 불을 지펴도 물이 끓지 않아 고팡에 두었더니 꿈에 신이 나타나 자신을 조상으로 잘 ...,신화,MYTH2.003,"부자,벼슬,서귀진,용궁,솥할망본,정의원,대정원,명월만호,솔",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승 | 마을 공동체 전승 | 해양·어촌 전승,신 | 조상신,마을 | 바다 | 산/오름 | 해안 마을,경외 | 신성 | 따뜻함 | 신비,공동체 기억 | 인물 전승
C_M_048,시흥본향당본풀이,legend,시흥리,33.4693635,126.8824129,성산읍 | 시흥리 | 신흥리,시흥본향당본풀이는 성산읍 시흥리 본향당의 내력을 담은 신화이다.,신화,MYTH2.002,"본풀이,큰굿,만주에미,시흥리,팽나무,귀양정배,백룡,청룡,시흥본향당본풀이,초공연맞이,신병,두루뤠할망,부씨할망,한주아들,무구,상단골,포목,송갑사",무속신화,무속신화·신격 전승,마을 공동체 전승,무속신화·신격 전승 | 마을 공동체 전승 | 가족·인간사 서사,신 | 마을신 | 인간,당/사당 | 마을 | 산/오름,신성 | 경외 | 신비,인물 전승 | 장소 신성화 | 공동체 기억
C_M_049,신천본향 선씨일월,legend,신천리,33.3506155,126.8524692,성산읍 | 조천읍 | 신천리 | 신촌리,신천본향 선씨일월 본풀이는 성산읍 신천리 본향당의 내력을 담은 신화이다. 현씨일월은 양반집 딸로 태어나 무병을 앓았으나 오라비들이 적극적으로 무업을 할 수 있게 도우려 하다가 파선하여 죽으니 현씨일월도 따라 죽고 말...,신화,MYTH2.002,"심방,오누이,신천리,당신,현씨일월,공싯상,신천본향,선씨일월,신하천리,무복,파선,신남밭",무속신화,무속신화·신격 전승,마을 공동체 전승,무속신화·신격 전승 | 마을 공동체 전승 | 가족·인간사 서사 | 해양·어촌 전승,신 | 마을신 | 심방 | 인간,당/사당 | 마을 | 바다 | 산/오름,신성 | 경외 | 신비,인물 전승 | 장소 신성화 | 공동체 기억
C_M_050,알당(금성),legend,애월읍,33.4110784,126.3939276,애월읍,"알당본풀이는 애월읍 금성리 알당의 내력을 담은 신화이다. 금성리 김춘장이 다른 지방으로 장사를 다니다가 아기씨를 대우하여 덕을 보았는데, 제 주로 돌아올 때 아기씨가 함께 따라오기에 고방에 모시니 부자가 되었으며, ...",신화,MYTH2.002,"장사,어부,잠수,선앙당,고방,알당,금성,금성리,새서물,김훈장,경상도황해도,전라도,지리산",무속신화,무속신화·신격 전승,해양·어촌 전승,무속신화·신격 전승 | 해양·어촌 전승,신 | 인간,바다 | 당/사당 | 마을 | 산/오름,신성 | 경외 | 따뜻함 | 신비,인물 전승 | 공동체 기억 | 장소 신성화
C_M_051,양씨아미본풀이,legend,하례리,33.3252261,126.5961931,하례리 | 남원읍 | 신례리,양씨아미본풀이는 남원읍 신례리 양씨 집안의 조상신에 대한 내력을 담은 신화이다. 양씨아미는 신병을 앓다가 드디어 심방이 되어 본격적으로 굿을 하려고 할 때 무구를 구하러 가던 오라버니의 죽음을 알고 스스로 바다에 뛰...,신화,MYTH2.003,"본풀이,떡,정의고을,양씨아미,양씨아미본풀이,시왕맞이,열룬이,공싯상,양씨 아미,양씨일월본풀이,양좌수,양씨열이,혼연개,수중고혼,시자리",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승 | 마을 공동체 전승 | 해양·어촌 전승,신 | 동물 | 심방 | 왕/관원/선비 | 조상신,마을 | 바다,신성 | 경외 | 신비 | 따뜻함,공동체 기억 | 인물 전승
C_M_053,열리본향당본풀이,legend,사계리,33.2383758,126.3026575,사계리 | 화순리 | 서귀포시 | 예래동,열리본향당본풀이는 서귀포시 예래동 본향당에서 모시는 당신의 내력을 담은 신화이다. 하로하로산과 족다리대서부인의 일곱 딸이 장성하니 함께 살기 어려워져 인근 여러 마 을로 흩어져 이렛당신이 되었다.,신화,MYTH2.002,"본풀이,화순리,사계리,창천리,감산리,열리본향당본풀이,열리본향당,청밧할망,망밧중저,주문도청,도고세미일뤠중저,대평리,닥밧일뤠중저,전신당일뤠중저,족다리대서부인,하로하로산,원당밧일뤠중저",무속신화,무속신화·신격 전승,마을 공동체 전승,무속신화·신격 전승 | 마을 공동체 전승 | 가족·인간사 서사,신 | 마을신 | 인간,당/사당 | 마을 | 산/오름,신성 | 경외 | 신비,인물 전승 | 공동체 기억 | 장소 신성화
C_M_054,영감본,legend,한경면,33.3227575,126.2238176,한경면,영감본은 도깨비신의 내력을 담은 신화이다. 영감신은 서울 김치백의 아들로 태어나 행실이 나쁜 탓에 동네에서 쫓겨나 송영감 집에 머 물면서 부자가 되게 해주다가 송영감에게 내쳐지자 곳곳으로 흩어져 선앙으로 좌정하였다.,신화,MYTH2.002,"삼형제,백마,서울,김녕,남대문,영감본,김치백,송영감,생도깨비,안동땅,대판,동복,강경,선앙",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승 | 가족·인간사 서사 | 초자연 존재담,신 | 도체비/요괴 | 인간,마을,신성 | 경외 | 신비 | 공포,인물 전승 | 공동체 기억 | 장소 신성화
C_M_055,영등당(한림),legend,한림읍,33.3764716,126.2852587,한림읍,영등당 본풀이는 한림읍 한림리 영등당의 내력을 담은 신화이다. 황영등은 외눈백이 섬에 잡혀온 어부들을 구해주고 영등굿으로 제향을 받는다.,신화,MYTH2.002,"한림,소섬,선녀,영등굿,성산리,영등당,무위이화,한수리,용왕황제국,가남보살,서경국부인,외눈백이,동경국애기씨,영등제,황영등,영등대왕",무속신화,무속신화·신격 전승,해양·어촌 전승,무속신화·신격 전승 | 해양·어촌 전승,신 | 왕/관원/선비 | 용왕/해신,바다 | 당/사당 | 마을 | 산/오름 | 섬,신성 | 경외 | 신비,인물 전승 | 공동체 기억 | 장소 신성화
C_M_056,예촌보목효돈토평본향당본풀이,legend,하례리,33.3252261,126.5961931,효돈동 | 서귀포시 | 하례리 | 보목동 | 남원읍 | 신례리,"예촌보목효돈토평본향당본풀이는 남원읍 신례리・하례리, 보목동, 효돈동, 토평동 사람",신화,MYTH2.002,"본풀이,백록담,궤눼깃당,예촌보목효돈토평본향당본풀이,조노기,신중부인,밀양박씨,예촌본향신,새금상따님아기,칠오름,강남천자도원,칠오름도병서,비야기뒌밧,간회,보목동,청기와집,흑기와집,바로못님,할로영산벡관",무속신화,무속신화·신격 전승,지명·지형 유래,무속신화·신격 전승 | 마을 공동체 전승 | 지명·지형 유래,마을신 | 신 | 인간,당/사당 | 산/오름 | 마을 | 한라산 권역,신성 | 경외 | 따뜻함 | 신비,공동체 기억 | 기원 설명 | 인물 전승 | 장소 신성화
C_M_058,요(*)드렛당본풀이,legend,토산리,33.3249072,126.773206,표선면 | 토산리 | 가시리 | 온평리,드렛당본풀이는 표선면 토산리 여드렛당의 내력을 담은 신화이다. 토산 드레한집은 나주 금성산의 신이었는데 거처가 사라지자 바둑돌로 변하여 뱃사람 을 따라 제주로 들어와 처녀로 변신하여 토산에 당신으로 좌정하였다가 ...,신화,MYTH2.002,"본풀이,뱀,토산리,가시리,용왕국,하천리,만주에미,나주,강씨형방,양이목사,장도,초감제,여드렛당,금성산,바둑돌,강씨아기,온평본향당,멩호부인,개로육서또,요드렛당,요드레한집,오씨형방",무속신화,무속신화·신격 전승,마을 공동체 전승,무속신화·신격 전승 | 마을 공동체 전승 | 가족·인간사 서사 | 초자연 존재담 | 해양·어촌 전승,신 | 인간 | 마을신 | 왕/관원/선비 | 동물 | 용왕/해신,당/사당 | 마을 | 바다 | 산/오름,신성 | 경외 | 신비 | 따뜻함,장소 신성화 | 인물 전승 | 공동체 기억
C_M_059,우렝이 김씨조상본풀이,legend,외도동,33.4827496,126.4404592,외도동 | 제주시,"우렝이 김씨조상본풀이는 제주시 외도동 우렝이 마을 김씨 집안 조상신의 내력을 담은 신화이다. 양반 집 자손으로 태어난 김씨 하르방은 멩두를 발견한 뒤로 신기가 있어 결국 큰심방 이 되었는데, 큰 가뭄이 들었을 때 용...",신화,MYTH2.003,"본풀이,기우제,곽지,우렝이,용소,김씨하르방,용연,귀덕,우렝이마을,외도동,김씨조상본풀이,오도롱,고양이,예촌,멩두,김씨심방,큰심방",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승 | 마을 공동체 전승 | 생활민담·교훈담,신 | 심방 | 인간 | 조상신,마을,신성 | 경외 | 익살 | 따뜻함 | 신비,공동체 기억 | 인물 전승
C_M_060,우렝이 신씨조상본풀이,legend,가시리,33.3828211,126.7313785,가시리 | 외도동 | 제주시,"우렝이 신씨조상본풀이는 제주시 외도동 우렝이 마을 신씨 집안 조상신의 내력을 담은 신화이다. 신씨 집안의 조상은 본래 가난하였으나 부자인 홍씨 집안의 사위가 되어 잘 살게 되었 는데, 다시 가시리 강당장 따님과 연분...",신화,MYTH2.003,"본풀이,소,칠성,가시리,곡식,우렝이,외도동,우렝이마을,신씨조상본풀이,홍괄호,홍목사,이싱굴,높은마를,강당장따님아기,신칩하르방",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승 | 마을 공동체 전승 | 생활민담·교훈담,신 | 인간 | 왕/관원/선비 | 조상신,당/사당 | 마을,신성 | 경외 | 따뜻함 | 익살 | 신비,공동체 기억 | 인물 전승
C_M_061,웃당본(토산),legend,한라산,33.3616666,126.5291666,표선면 | 한라산 | 마라도,"웃당본은 표선면 토산1리 토산본향당의 내력을 담은 신화이다. 름운님은 불효한 탓에 상자에 담겨 요왕황제국에 가서 신중부인과 혼인한 뒤 함께 돌 아와 토산에 좌정하는데, 신중부인이 돼지털 냄새 맡은 것을 부정하다 하...",신화,MYTH2.002,"토산,돼지털,소천국,송당,상자,돼지발자국,용왕황제국,신중부인,금백조,느진덕정하님,웃당본,저산국따님,새로금상,서당팥,토산1리,토산본향당,바름운님",무속신화,무속신화·신격 전승,지명·지형 유래,무속신화·신격 전승 | 마을 공동체 전승 | 지명·지형 유래 | 가족·인간사 서사 | 해양·어촌 전승,신 | 마을신 | 왕/관원/선비 | 용왕/해신,산/오름 | 당/사당 | 한라산 권역 | 바다 | 섬,경외 | 신성 | 신비,장소 신성화 | 인물 전승 | 공동체 기억 | 기원 설명
C_M_062,원당할망본,legend,신풍리,33.3697855,126.8320995,성산읍 | 신풍리,원당할망본은 양반의 소실이 되는 바람에 굿을 못하게 되자 자살하여 조상신이 된 내력 을 담은 신화이다. 원당할망은 제주 강씨형방이 서울 원당고을의 굿판에서 미모의 처녀를 데리고 왔으나 굿을 못하게 하자 처녀가 한을 ...,신화,MYTH2.003,"심방,신풍리,안칠성,원당할망,강씨형방,밧칠성,원당할망본,신연살이,원당고을,쾌자,연반물,유향소",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승 | 가족·인간사 서사,신 | 심방 | 인간 | 조상신,당/사당 | 마을 | 산/오름,신성 | 경외 | 신비,인물 전승 | 공동체 기억
C_M_065,월정본향당본풀이,legend,한라산,33.3616666,126.5291666,월정리 | 한라산 | 행원리 | 구좌읍,월정본향당본풀이는 구좌읍 월정리의 본향당에 얽힌 전승이다. 기자불공하여 태어난 황정승 따님이 구렁이로 변신한 탓에 무쇠상자에 담겨 버려지자 자신을 발견한 낚시꾼에게 조상신으로 대우받다가 다시 여자로 환생하여 배필을 ...,신화,MYTH2.002,"본풀이,구렁이,돼지털,돗제,황정승,김첨지,유지,월정본향당본풀이,신산국,서당국부인,당커릿당,서당머체,두통,복통,대제",무속신화,무속신화·신격 전승,지명·지형 유래,무속신화·신격 전승 | 마을 공동체 전승 | 지명·지형 유래 | 초자연 존재담,신 | 동물 | 마을신 | 조상신,산/오름 | 당/사당 | 한라산 권역,신성 | 경외 | 신비,인물 전승 | 공동체 기억 | 기원 설명 | 장소 신성화
C_M_068,자원당,legend,수원리,33.4309643,126.2681874,애월읍 | 수원리 | 한림읍,자원당본풀이는 애월읍 하가리에 있던 자원당의 내력을 담은 신화이다. 밭에서 김매던 사내가 비를 피하는 사이에 심심풀이로 흙으로 빚어 만든 동자석이 신령 이 있어 사람들로부터 인정을 받았다는 내용이다.,신화,MYTH2.002,"심방,굿,하가리,돌멩이,동자석,신발,자원당,인정,다님",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승,신 | 심방 | 인간,당/사당 | 마을,신성 | 경외 | 신비,인물 전승 | 공동체 기억 | 장소 신성화
C_M_069,저지본향 허릿궁할망,legend,판포리,33.3583661,126.2127584,판포리 | 명월리 | 한경면 | 상명리 | 고산리 | 한림읍 | 저지리,저지본향 허릿궁할망 본풀이는 한경면 저지리 오름허릿당의 내력을 담은 신화이다. 정좌수 따님이 홀로 임신한 탓에 집에서 쫓겨나 아이 일곱을 낳고 인근 여러 마을 당신 으로 좌정시켰다.,신화,MYTH2.002,"대정,검은오름,다신마들,저지본향,허릿궁할망,호근마르,정좌수부인,허릿굿할망",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승 | 마을 공동체 전승 | 지명·지형 유래,신 | 마을신,산/오름 | 당/사당 | 마을,신성 | 경외 | 신비,인물 전승 | 장소 신성화 | 공동체 기억 | 기원 설명
C_M_071,진안할망,legend,수산리,33.4644603,126.3887347,성산읍 | 수산리,진안할망 본풀이는 성산읍 수산리 진안할망당의 내력을 담은 신화이다. 열세살 처녀를 희생한 결과 성담을 견고하게 쌓을 수 있었다는 내용이다.,신화,MYTH2.002,"처녀,산신,진안할망,고려적,왜구,성담",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승 | 가족·인간사 서사,신 | 인간,산/오름 | 당/사당 | 마을,경외 | 신성 | 신비,인물 전승 | 공동체 기억 | 장소 신성화
C_M_073,천지왕본,legend,표선리,33.324883,126.8245979,표선면 | 표선리,"천지왕본은 처음 인간 세상이 열릴 때, 해와 달 둘 가운데 하나씩을 떨어뜨린 내력을 담은 신화이다. 천지왕은 부친을 박대하여 제사도 모시지 않는 쉬맹이를 징치하기 위하여 바구왕을 찾 았다가 그의 딸 서수암이와 인연을...",신화,MYTH2.001,"저승,이승,천지왕,대별왕,소별왕,해와달,천지왕본,쉬맹이,바구왕,총맹부인,서수암이,활선생,거자,후추가루",무속신화,무속신화·신격 전승,가족·인간사 서사,무속신화·신격 전승 | 가족·인간사 서사 | 초자연 존재담,신 | 왕/관원/선비 | 인간 | 혼령/귀신,마을,신성 | 경외 | 신비,인물 전승 | 공동체 기억
C_M_076,칠성본풀이,legend,함덕리,33.5307681,126.6673798,제주성 | 함덕리,"칠성본풀이는 뱀신이면서 부신(富神)의 기능을 하는 칠성의 내력을 담은 신화이다. 칠성아기는 일곱 살에 길을 잃었다가 중의 조화로 임신하여 부모에 의하여 무쇠상자에 담겨 바다에 버려지자, 제주에 이르러 일곱 아기와 함...",신화,MYTH2.001,"본풀이,뱀,잠수,제주성,안칠성,칠성본풀이,부군칠성,함덕,고방,장설룡,송나라,광청할망,창고지기,과원할망,옥지기,형방,이방,추수할망,송대장,칠성골,칠성당,칠성새남,장나라,서모오름,하마석,송설룡,송첨지",무속신화,무속신화·신격 전승,해양·어촌 전승,무속신화·신격 전승 | 해양·어촌 전승 | 가족·인간사 서사 | 지명·지형 유래,신 | 인간,바다 | 당/사당 | 마을 | 산/오름,신성 | 경외 | 신비 | 따뜻함,인물 전승 | 공동체 기억 | 기원 설명
C_M_077,토산일뤳당본풀이,legend,마라도,33.1206371,126.2671204,표선면 | 토산리 | 마라도,"토산일뤳당본풀이는 표선면 토산리 본향당의 내력을 담은 신화이다. 로못도가 부모에게 죄를 짓고 무쇠상자에 담겨 버려지자 용왕국에 가서 용왕 막내딸 을 작은부인으로 맞이하여 되돌아온 뒤에, 돼지털 냄새를 맡는 부정을 ...",신화,MYTH2.002,"본풀이,토산리,작은부인,마라도,큰부인,귀양,소천국,돼지털,무쇠상자,용왕국,벡주또,막내딸,산호수,주술,토산일뤳당본풀이,바로못도,송당본향당,서당팟일뤠중저,요왕황제국족은딸아기,서당팟",무속신화,무속신화·신격 전승,마을 공동체 전승,무속신화·신격 전승 | 마을 공동체 전승 | 가족·인간사 서사 | 해양·어촌 전승,신 | 인간 | 마을신 | 왕/관원/선비 | 용왕/해신,당/사당 | 바다 | 산/오름 | 섬,경외 | 신성 | 신비 | 따뜻함,인물 전승 | 장소 신성화 | 공동체 기억
C_M_078,평대본향 신선당,legend,우도,33.5042977,126.954048,평대리 | 우도면 | 구좌읍 | 우도,평대본향 신선당 본풀이는 구좌읍 평대리의 본향당이었던 신선당의 내력을 담은 신화이다. 공주아미는 무쇠상자에 담겨 제주도에 이르러 신선또를 만나 혼인하여 딸 일곱을 낳았 으나 돼지고기를 먹는 바람에 살림을 갈랐다.,신화,MYTH2.002,"돼지고기,무쇠상자,평대리,날핏내,불효,강원도,철산,평대본향,신선당,공주아미,신선또,서당할망",무속신화,무속신화·신격 전승,마을 공동체 전승,무속신화·신격 전승 | 마을 공동체 전승 | 가족·인간사 서사,신 | 마을신 | 인간,당/사당 | 산/오름 | 섬,경외 | 신성 | 신비,인물 전승 | 장소 신성화 | 공동체 기억
C_M_079,피쟁이조상본 황정싱본,legend,삼도동,33.5120406,126.5215055,삼도동 | 제주시,피쟁이조상본 황정싱본은 백정 집안에서 조상신을 모시게 된 내력을 담은 신화이다. 황정승이 중병이 들어 소 아홉을 잡아먹어야 낫는데 두 아들이 반대하여 딸과 막내아들 이 몰래 소를 잡아 먹여 낫게 해 주었다.,신화,MYTH2.003,"삼형제,황정승,백정,소아홉마리,피쟁이조상본,황정싱본,뇌병,대장간",무속신화,무속신화·신격 전승,가족·인간사 서사,무속신화·신격 전승 | 가족·인간사 서사 | 마을 공동체 전승,신 | 인간 | 조상신,마을,경외 | 신성 | 따뜻함 | 신비,공동체 기억 | 인물 전승
C_M_080,하도본향 삼싱당,legend,하도리,33.5163279,126.8833403,하도리 | 구좌읍,하도본향 삼싱당 본풀이는 구좌읍 하도리의 본향당인 삼싱당의 내력을 담은 신화이다. 도걸호 도집사가 할망과 함께 좌정하였다가 할망이 차린 조반에 티끌이 있는 것을 이유 로 살림을 갈라 도집사는 연두막에 좌정하고 할망은...,신화,MYTH2.002,"각시당,강진,별방,연두막,하도본향,삼싱당,고구려,도걸호도집사,부산",무속신화,무속신화·신격 전승,마을 공동체 전승,무속신화·신격 전승 | 마을 공동체 전승,신 | 마을신,당/사당 | 마을 | 산/오름,신성 | 경외 | 신비,장소 신성화 | 인물 전승 | 공동체 기억
C_M_081,함덕본향당본풀이,legend,함덕리,33.5307681,126.6673798,함덕리,함덕본향당본풀이는 함덕리 서물당의 내력을 담은 신화이다. 함덕리 김첨지가 낚시를 할 때마다 미륵돌이 걸려오더니 꿈에 신이 나타나 자신이 용왕 국 딸이라고 하고 자신을 모시면 잠수와 낚시배를 돌보아주겠다고 해서 당신으...,신화,MYTH2.002,"본풀이,잠수,용왕국,함덕리,미륵돌,김첨지,서물당,무남독녀,알가름,낚시배",무속신화,무속신화·신격 전승,해양·어촌 전승,무속신화·신격 전승 | 마을 공동체 전승 | 해양·어촌 전승 | 가족·인간사 서사,신 | 마을신 | 왕/관원/선비 | 용왕/해신 | 인간,당/사당 | 바다 | 마을,신성 | 경외 | 신비,인물 전승 | 장소 신성화 | 공동체 기억
C_M_082,해안본향 강구물동산당,legend,연동,33.4659777,126.4934011,연동 | 제주시 | 해안동,"해안본향 강구물동산당본풀이는 제주시 해안동의 본향당인 강구물동산당의 내력을 담은 신화이다. 천지왕의 아들 대별왕, 소별왕이 낟알을 맛본 죄로 인간에 귀양 당하여 당신으로 좌정 하였다.",신화,MYTH2.002,"귀양,천지왕,대별왕,소별왕,해안동,해안본향,강구물동산당,낟알,강구물동산,오드싱,섯머세,동머세",무속신화,무속신화·신격 전승,마을 공동체 전승,무속신화·신격 전승 | 마을 공동체 전승 | 가족·인간사 서사,신 | 마을신 | 왕/관원/선비 | 인간,당/사당 | 마을 | 산/오름 | 해안 마을,신성 | 경외 | 신비,장소 신성화 | 인물 전승 | 공동체 기억
C_M_083,행원남당본풀이,legend,한라산,33.3616666,126.5291666,한라산 | 북촌리 | 행원리 | 구좌읍,행원남당본풀이는 구좌읍 행원리 남당의 내력을 담은 신화이다.,신화,MYTH2.002,"본풀이,배,돼지고기,잠수,행원리,어장,흉년,행원남당본풀이,북촌,철산,강원도,유지,남당한집,오분작할망,신영마루,문씨고냥할망,중이대사,소면",무속신화,무속신화·신격 전승,지명·지형 유래,무속신화·신격 전승 | 지명·지형 유래 | 해양·어촌 전승,신,산/오름 | 한라산 권역 | 당/사당 | 바다,신성 | 경외 | 신비,인물 전승 | 공동체 기억 | 기원 설명 | 장소 신성화
C_M_084,호근이*모루*요드렛당본풀이,legend,안덕면,33.2926011,126.3476551,안덕면,"호근이르 드렛당본풀이는 안덕면 감산리 여드렛당의 내력을 담은 신화이다. 이씨할망은 훈장의 딸로 태어나 오좌수를 만나 정분을 나누었으나, 첩이어서 설움을 받 다가 죽은 뒤에 당 올레에 묻혀 오씨 집안 사람들이 주로...",신화,MYTH2.002,"본풀이,조천,양반,호근리,여드렛당,이씨할망,정읫골,오좌수,안덕면감산리,요드렛당본풀이,이훈장,축첩,호근마을,당올레",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승 | 가족·인간사 서사 | 마을 공동체 전승,신 | 인간,당/사당 | 마을 | 산/오름,신성 | 경외 | 따뜻함 | 신비,공동체 기억 | 인물 전승 | 장소 신성화
C_M_085,화순본향 원당밭 일뢰중조,legend,사계리,33.2383758,126.3026575,사계리 | 화순리 | 색달리 | 안덕면,화순본향 원당밭 일뢰중조 본풀이는 안덕면 화순리의 원당밭에 좌정한 이렛당신의 내력,신화,MYTH2.002,"소,개,화순본향,원당밭,소고기,일뢰중조,청밧할망,왜배,서난드르,불묵당,안덕면화순리,원당반할망,예래본향당,당올래당,이렛당신,조순다리",무속신화,무속신화·신격 전승,마을 공동체 전승,무속신화·신격 전승 | 마을 공동체 전승,마을신 | 신 | 동물,당/사당 | 마을,신성 | 경외 | 신비,인물 전승 | 장소 신성화 | 공동체 기억
T_M_001,각시당본풀이,legend,삼도동,33.5120406,126.5215055,삼도동,"옥황상제 막내딸이 부모의 명령을 거역하고 궁녀, 시녀들에게 물과 밥을 주지 않아 궁녀 시녀",신화,MYTH2.002,"본풀이,각시당,각시당본풀이",무속신화,무속신화·신격 전승,가족·인간사 서사,무속신화·신격 전승 | 가족·인간사 서사,신 | 왕/관원/선비 | 인간,당/사당 | 마을,신성 | 경외 | 신비,공동체 기억 | 인물 전승
T_M_002,고내본향,legend,고내봉,33.4591265,126.3418004,고내봉,고내봉에서 전해 내려오는 고내본향 전설.,신화,MYTH2.002,고내본향,전설,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승 | 마을 공동체 전승,신,마을,신비 | 경외 | 신성,공동체 기억 | 인물 전승
T_M_003,고대장본풀이,legend,한라산,33.3616666,126.5291666,제주성 | 납읍리 | 선흘리 | 건입동 | 정의현 | 대정현 | 한라산 | 무근성 | 명월리 | 용담동 | 어음리 | 화북동 | 항파두리 | 한림읍 | 제주시 | 고성리 | 남문통,한라산에서 전해 내려오는 고대장본풀이 전설.,신화,MYTH2.003,"고대장,고대장본풀이",무속신화,무속신화·신격 전승,지명·지형 유래,무속신화·신격 전승 | 지명·지형 유래,신,산/오름 | 한라산 권역,신비 | 신성 | 경외,공동체 기억 | 기원 설명 | 인물 전승
T_M_004,고도채비본(일도2),legend,제주시,33.5042779,126.519838,제주시,제주시에서 전해 내려오는 고도채비본(일도2) 전설.,신화,MYTH2.003,고도채비본,전설,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승,신,마을,신비 | 경외 | 신성,공동체 기억 | 인물 전승
T_M_005,고성신양수산본향당본풀이,legend,한라산,33.3616666,126.5291666,한라산 | 종달리 | 송당리 | 수산리 | 온평리,한라산에서 전해 내려오는 고성신양수산본향당본풀이 전설.,신화,MYTH2.002,고성신양수산본향당본풀이,무속신화,무속신화·신격 전승,지명·지형 유래,무속신화·신격 전승 | 마을 공동체 전승 | 지명·지형 유래,신 | 마을신,산/오름 | 당/사당 | 한라산 권역,신성 | 경외 | 신비,공동체 기억 | 기원 설명 | 인물 전승 | 장소 신성화
T_M_006,고전적본,legend,선흘리,33.4851252,126.7078377,봉개동 | 선흘리 | 덕천리 | 정의현 | 하례리 | 송당리 | 제주시,선흘리에서 전해 내려오는 고전적본 전설.,신화,MYTH2.003,고전적본,전설,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승,동물 | 신,당/사당 | 마을,신비 | 경외 | 신성,공동체 기억 | 인물 전승
T_M_007,곤물당본풀이,legend,화순리,33.252712,126.3343265,화순리 | 안덕면,화순리에서 전해 내려오는 곤물당본풀이 전설.,신화,MYTH2.002,"본풀이,곤물당,곤물당본풀이",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승,신,당/사당 | 마을,신성 | 신비 | 경외,공동체 기억 | 인물 전승
T_M_008,광정당본풀이,legend,성읍리,33.407816,126.7828957,성읍리 | 표선면 | 이도동 | 제주시 | 고성리,성읍리에서 전해 내려오는 광정당본풀이 전설.,신화,MYTH2.002,"본풀이,광정당,광정당본풀이",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승,신,당/사당 | 마을,신성 | 신비 | 경외,공동체 기억 | 인물 전승
T_M_010,구실할망본풀이(나주 김씨 집안의 조상),legend,조천리,33.5267388,126.6435672,조천리 | 신촌리 | 제주시,"옛날 신촌 큰물머리에 김동지영감이 살았었는데, 그때는 김동지영감이라 않고 신촌 큰물머리 김씨사공이라 합디다. 제주 관원에서 우리 제주 특산물을 진상할 때, 김씨사공이 산에서 나는 버섯, 바다에서 나는 우무 청각 미역...",신화,MYTH2.003,"본풀이,구실할망,구실할망본풀이,나주 김씨",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승 | 마을 공동체 전승 | 해양·어촌 전승,신 | 왕/관원/선비,마을 | 바다 | 산/오름,신비 | 신성 | 경외 | 따뜻함,공동체 기억 | 인물 전승
